"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
174.919998,177.34,171.369997,176.629997,210172200,23.367878
175.469997,177.109995,171.000002,172.579998,232502900,22.83207
179.240004,179.300005,173.079996,173.880001,221513600,23.004058
172.479996,173.739998,166.390003,169.639997,260010800,22.443112
170.199997,172.930006,168.6,172.810003,186947600,22.862499
174.100006,174.98,171.389997,171.809994,189381500,22.730199
168.519999,169.649998,164.999998,165.150002,217103600,21.849092
166.900002,167.500002,161.120003,166.290001,340117400,21.999913
149.000006,162.76,146.530003,162.019997,469898100,21.434998
164.989998,168.369995,161.559999,166.26,265442100,21.995944
164.319996,165.260004,158.449995,159.029995,209904800,21.039425
160.4,163.000006,158.65,162.119999,158409300,21.448228
162.340004,162.469994,154.02,154.399996,195178200,20.426883
155.410006,159.450005,153.650005,157.080004,171017700,20.781444
157.780006,160.490002,156.079994,159.880001,181295800,21.151879
157.540001,162.200001,156.980001,158.950006,159374600,21.028843
159.900002,159.990004,155.75,156.659994,136159800,20.725877
156.600006,157.899996,152.910002,153.229996,148131900,20.272094
155.420006,160.799995,154.820005,160.640005,172092900,21.252427
159.970003,167.4,157.999998,164.190006,197852200,21.722087
162.709999,166.149998,161.499998,163.570005,168093100,21.640061
163.859999,169.649998,163.749996,169.549995,178499300,22.431205
170.069994,176.499994,169.669998,173.559994,222826100,22.961722
173.520006,179.290005,173.510006,176.73,209069700,23.381108
177.980001,179.999994,175.899994,179.300005,210586600,23.721116
178.329996,180.450005,177.839998,179.320005,177825200,23.723762
179.039999,179.750002,175.050001,175.740004,177062900,23.250134
175.57,177.809998,173.82,175.389996,138003600,23.203828
174.540003,177.069994,171.809994,173.530006,154051100,22.957754
174.769995,176.940004,173.609995,175.840006,126737800,23.263364
174.470001,175.449997,171.889996,174.289997,134936200,23.0583
175.820005,177.500004,175.57,176.790001,109902800,23.389047
176.15,176.230001,171.660004,172.549997,121106300,22.828101
172.760002,174.879997,172.609999,173.639996,111387500,22.972306
173.310001,175.760004,172.190002,174.670006,119445200,23.108574
175.280006,176.250002,172.750002,173.739998,107846200,22.985536
172.959993,173.500006,169.039997,169.529995,149822400,22.428559
172.399994,173.500006,164.999998,166.189999,195190800,21.986682
166.84,168.680002,164.000002,166.960003,183708700,22.088553
165.860004,167.909998,160.809996,161.220005,185846500,21.32916
158.589998,162.400005,157.650003,160.179995,196721000,21.191568
164.570002,164.889996,151.459995,157.919996,261494800,20.892574
156.859999,159.960003,149.789997,151.68,311256400,20.067032
152.320002,154.989996,148.800001,151.609999,243285700,20.057771
148.18,152.990004,146.000004,152.649996,242783800,20.195361
150.909996,150.909996,146.500002,148.940004,198256800,19.704535
142.030006,147.690002,140.359995,140.359995,230158600,18.569413
133.860006,142.500004,132.149994,139.879997,299959100,18.50591
138.490005,138.510006,127.830002,127.830002,300113800,16.911714
130.569998,135.430002,120.679998,134.089998,419063400,17.739902
142.600006,144.200003,136.309996,140.909994,357718900,18.642177
139.939999,140.250006,130.66,131.049995,214178300,17.337714
131.85,135.799997,126.660002,126.840006,320091100,16.780739
127.270002,130.950006,125.149994,128.709995,261753800,17.028135
129.799994,134.790001,128.520004,131.930002,251511400,17.454137
124.910002,129.799994,122.999998,128.239998,281612800,16.965955
119.620001,119.680002,100.589999,105.259999,655514300,13.925737
108.250001,115.000002,106.300003,113.659998,406670600,15.037044
111.919998,112.359995,107.390001,109.120001,324121000,14.436409
108.010002,108.79,99.999999,100.100001,402341100,13.243077
103.999997,106.500001,94.649997,97.069999,573599600,12.842212
91.960002,98.779998,87.540001,98.140003,526854300,12.983772
100.479997,101.5,88.95,89.159998,469693000,11.795731
85.909997,96.330002,85.679998,89.789999,551935300,11.879079
93.35,95.800003,86.599999,88.740002,404345900,11.740166
85.699999,99.999999,85.000003,96.799999,554824900,12.806492
104.550003,110.53,101.020002,110.26,384769000,14.587229
116.260004,116.399994,103.139997,104.079999,495248600,13.769625
103.84,106.999999,97.889997,97.949999,396043900,12.958635
99.77,103.429997,91.739997,101.890002,495130300,13.479891
99.600003,102.039999,85.890003,97.4,440556900,12.885871
99.780001,100.03,93.64,98.439997,387292500,13.023461
96.950003,97.899998,91.159997,91.489998,548415000,12.103987
97.369999,101.250001,92.929997,96.870001,562202200,12.815753
96.509999,99.250002,91.900001,98.229999,418857600,12.995678
90.329998,97.899998,90.11,96.380003,397514600,12.750927
95.07,97.629998,91.86,92.089998,302192800,12.183366
95.430001,100.499997,92.369998,99.909997,408533300,13.21794
100.859999,109.539997,99.939998,104.550003,487744600,13.831805
108.23,112.190004,107.61,111.039998,409522400,14.690422
107.400002,110.779999,105.140003,107.589999,414939000,14.233992
105.930001,109.1,104.859997,106.959998,264484500,14.150644
109.990001,111.790002,106.669998,110.989997,349670300,14.683807
108.910003,109.720001,102.990001,103.300001,314113800,13.666432
101.050003,102.780003,98,99.099998,329768600,13.110778
99.240002,99.850002,95.720001,98.239999,273813400,12.997001
100.170003,100.400002,94.5,95.879998,280955500,12.684777
94.81,97.170001,92.260002,94.77,306134500,12.537926
92.429999,93.239998,90.009997,90.12,294744100,11.922738
89.870001,96.439998,86.02,96.439998,463521800,12.758864
93.760003,93.990002,89.999997,90.240003,351316700,11.938614
88.480002,90.550003,87.260001,88.140001,290631600,11.660787
89.640002,90.99,86.859999,89.910002,302423800,11.894956
89.439998,91.58,86.209997,86.289999,292975200,11.416035
85.240002,86.450003,80.000002,80.49,429203600,10.648704
81.929999,84.120003,79.140002,82.580001,392317800,10.925208
85.210001,94.79,84.839999,92.949998,360564400,12.297142
